Source Account,Text,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
@BBCWorld,"RT @BBCNews: UK PM @theresa_may tells @bbclaurak she's committed to ""faster pace"" of #Brexit talks

https://t.co/TIntoo0Ak9 https://t.co/gb…",Thu Jun 28 13:21:09 +0000 2018,0.2732,0.116,0.884,0.0,31
@BBCWorld,RT @BBCNews: Have you heard of the Wood Wide Web? 🌳🌲 https://t.co/M339vcAToY,Thu Jun 28 13:09:09 +0000 2018,0.0,0.0,1.0,0.0,32
@BBCWorld,"RT @BBCSteveR: It’s Helsinki. Again.
1975 Ford-Brezhnev
1990 Bush-Gorbachev
1997 Clinton-Yeltsin
2018 Trump-Putin (July 16)",Thu Jun 28 12:41:17 +0000 2018,0.0,0.0,1.0,0.0,33
@BBCWorld,"RT @BBCNews: Is the EU punishing the UK? 🇪🇺🇬🇧

@BBCkatyaadler looks at whether it's in the EU's interest to stick the boot in on the UK in…",Thu Jun 28 12:30:44 +0000 2018,-0.1531,0.095,0.791,0.114,34
@BBCWorld,"Why is this footage of US President Franklin D Roosevelt walking unusual?

https://t.co/qbMHEbEHlh https://t.co/3qPsfthsy3",Thu Jun 28 12:04:19 +0000 2018,0.0,0.0,1.0,0.0,35
@BBCWorld,"RT @BBCNewsbeat: Paris Jackson has paid tribute to grandfather Joe, who masterminded the career of her dad, Michael Jackson.

But who was J…",Thu Jun 28 11:44:08 +0000 2018,0.0,0.0,1.0,0.0,36
@BBCWorld,Edward Heath 'not on island' for claimed abuse https://t.co/EghBK65iu5,Thu Jun 28 11:33:15 +0000 2018,-0.6369,0.0,0.656,0.344,37
@BBCWorld,RT @BBC_HaveYourSay: In the wake of the #SWE victory over #MEX Swedes using the hashtag #WeAreSweden rejected the racism which had followed…,Thu Jun 28 11:24:37 +0000 2018,-0.8126,0.0,0.73,0.27,38
@BBCWorld,Amsterdam chooses first woman mayor Halsema https://t.co/uirdphX4SC,Thu Jun 28 11:03:03 +0000 2018,0.0,0.0,1.0,0.0,39
@BBCWorld,Benghazi attack: Libyan militant jailed for 22 years in US https://t.co/1AJcn4ly3L,Thu Jun 28 10:55:30 +0000 2018,-0.743,0.0,0.588,0.412,40
@BBCWorld,"French boy, 12, makes record English Channel crossing https://t.co/vKUWoVSPJl",Thu Jun 28 10:52:52 +0000 2018,0.0,0.0,1.0,0.0,41
@BBCWorld,The rise of Senegal's World Cup coach Aliou Cissé https://t.co/P0SiCZLLOM,Thu Jun 28 10:50:26 +0000 2018,0.0,0.0,1.0,0.0,42
@BBCWorld,"RT @BBCSport: It was a disastrous night for #GER... so where do they go from here? 🤔

We've taken a look at what's next for Joachim Low's s…",Thu Jun 28 10:47:11 +0000 2018,-0.5994,0.0,0.87,0.13,43
@BBCWorld,Ducklings orphaned after driver which hit them 'did not slow down' https://t.co/UNyUajw3Rb,Thu Jun 28 10:31:59 +0000 2018,0.0,0.0,1.0,0.0,44
@BBCWorld,The pangolin is the most trafficked animal in the world — now fingerprint tech could help catch the poachers… https://t.co/q6KHXDMpMp,Thu Jun 28 10:19:45 +0000 2018,0.4019,0.13,0.87,0.0,45
@BBCWorld,Nude model's Western Wall photo shoot sparks anger https://t.co/vWl2UYkJB0,Thu Jun 28 10:17:24 +0000 2018,-0.7269,0.0,0.534,0.466,46
@BBCWorld,Australia passes foreign interference laws amid China tension https://t.co/PYnjkxM0tp,Thu Jun 28 09:54:34 +0000 2018,-0.3182,0.0,0.777,0.223,47
@BBCWorld,US-Israeli teen convicted of threats against Jewish centres https://t.co/o3tDvQvfqm,Thu Jun 28 09:49:35 +0000 2018,-0.4215,0.0,0.741,0.259,48
@BBCWorld,"RT @BBCSport: A blow for #BEL...

Striker Romelu Lukaku has been ruled out of tonight's #WorldCup game against #ENG.

👉 https://t.co/OgfO26…",Thu Jun 28 09:22:18 +0000 2018,0.0,0.0,1.0,0.0,49
@BBCWorld,Australia charges former officer in East Timor spy case https://t.co/L7SDzR8C6p,Thu Jun 28 09:18:26 +0000 2018,-0.2732,0.0,0.811,0.189,50
@BBCWorld,"RT @BBCNews: Prince William is expected to visit his great-grandmother's grave in Jerusalem.

She was Princess Alice of Greece, who helped…",Thu Jun 28 09:12:56 +0000 2018,-0.3818,0.0,0.885,0.115,51
@BBCWorld,Two dead as private plane crashes in Mumbai https://t.co/6cbY1Yc6xs,Thu Jun 28 09:04:10 +0000 2018,-0.6486,0.0,0.65,0.35,52
@BBCWorld,"RT @BBCClick: How do you make storing energy more efficient? One company thinks a ""gravity train"" could provide the answer. Watch here. htt…",Thu Jun 28 08:39:55 +0000 2018,0.6361,0.206,0.794,0.0,53
@BBCWorld,France's Macron brings back national service https://t.co/T3rCFVlezH,Thu Jun 28 07:43:13 +0000 2018,0.0,0.0,1.0,0.0,54
@BBCWorld,Are trade issues spoiling the Trump-Modi bromance? https://t.co/ft6orBQO5Q,Thu Jun 28 07:15:50 +0000 2018,0.0,0.0,1.0,0.0,55
@BBCWorld,Europe migrants: Disputes make EU summit a key test https://t.co/LKzJq6deVy,Thu Jun 28 07:06:18 +0000 2018,-0.2732,0.0,0.792,0.208,56
@BBCWorld,"RT @BBCSport: England's last group stage match tonight! #WorldCup

Watch, read and listen with @BBCSport and @5LiveSport:

15:00 #JPN v #PO…",Thu Jun 28 07:04:06 +0000 2018,0.0,0.0,1.0,0.0,57
@BBCWorld,"RT @BBCSteveR: To use a footballing phrase: despite a string of red cards, Vladimir Putin keeps on scoring. Here are my thoughts on the upc…",Thu Jun 28 06:57:35 +0000 2018,0.0,0.0,1.0,0.0,58
@BBCWorld,Kenya fire: 'Several dead' in Nairobi market https://t.co/EeUf8IWx6z,Thu Jun 28 06:54:13 +0000 2018,-0.7717,0.0,0.472,0.528,59
@BBCWorld,RT @BBCkatyaadler: How endangered is the EU over migration and what of the impact on #Schengen - never mind Angela Merkel’s political caree…,Thu Jun 28 06:40:19 +0000 2018,0.0,0.0,1.0,0.0,60
@BBCWorld,RT @bbcbaxter: As a favourite crashes out of the #WorldCup it's been revealed UBS &amp; Commerzbank had predicted #Germany would win. Have you…,Thu Jun 28 06:37:56 +0000 2018,0.5859,0.153,0.847,0.0,61
@BBCWorld,XXXTentacion fans queue to pay respects at Florida service https://t.co/XKYjp5WYeb,Thu Jun 28 05:06:12 +0000 2018,0.2263,0.197,0.684,0.12,62
@BBCWorld,Heavy rains and rising muddy waters have interrupted search and rescue efforts to find 12 missing teenagers and the… https://t.co/TiM7BYfEBP,Thu Jun 28 04:51:57 +0000 2018,-0.0258,0.134,0.688,0.178,63
@BBCWorld,Cannabis legalisation: Are there more young users in the US? https://t.co/DzlXr9eRwr,Thu Jun 28 04:37:23 +0000 2018,0.0,0.0,1.0,0.0,64
@BBCWorld,Trump begins Supreme Court search to replace Anthony Kennedy https://t.co/5g1YJkTAgv,Thu Jun 28 04:22:27 +0000 2018,0.5574,0.286,0.714,0.0,65
@BBCWorld,Thai cave: Rising water stops divers searching for missing boys https://t.co/I9tzCDjMIH,Thu Jun 28 04:20:03 +0000 2018,-0.4215,0.0,0.703,0.297,66
@BBCWorld,China won't give up 'one inch' of territory says President Xi to Mattis https://t.co/NT3EYPzL5v,Thu Jun 28 03:17:11 +0000 2018,0.0,0.0,1.0,0.0,67
@BBCWorld,"RT @geetapandeyBBC: Is india really the ""most dangerous"" country in the world for women? My online colleagues decode the survey, with my tw…",Thu Jun 28 02:10:50 +0000 2018,-0.5657,0.0,0.857,0.143,68
@BBCWorld,Is India really the most dangerous country for women? https://t.co/XbSKKQbaO3,Thu Jun 28 00:16:51 +0000 2018,-0.5657,0.0,0.711,0.289,69
@BBCWorld,What do European governments want from the EU Summit? https://t.co/4EHTLBtXHm,Thu Jun 28 00:13:42 +0000 2018,0.0772,0.126,0.874,0.0,70
@BBCWorld,World Cup 2018: Mexico fans celebrate South Korean 'brothers' https://t.co/NgkaKULS9w,Wed Jun 27 23:39:58 +0000 2018,0.5719,0.291,0.709,0.0,71
@BBCWorld,Europe's migration crisis: Could it finish the EU? https://t.co/DVhyHlFgCQ,Wed Jun 27 23:37:17 +0000 2018,-0.6249,0.0,0.661,0.339,72
@BBCWorld,Supreme Court: Why a fight over US abortion law now looms https://t.co/dQIagzjGu1,Wed Jun 27 22:12:31 +0000 2018,0.1027,0.228,0.506,0.266,73
@BBCWorld,Five attempts to make toys more inclusive https://t.co/q0TD2r1nlH,Wed Jun 27 21:34:47 +0000 2018,0.0,0.0,1.0,0.0,74
@BBCWorld,Asylum seekers in Ireland to be allowed to work https://t.co/733eZAPPjj,Wed Jun 27 21:22:33 +0000 2018,0.0,0.0,1.0,0.0,75
@BBCWorld,Flamingo that escaped a zoo in 2005 spotted in Texas https://t.co/jHKFQFdCxg,Wed Jun 27 19:54:02 +0000 2018,0.0,0.0,1.0,0.0,76
